Date,Close
2014-06-02,22.45
2014-06-03,22.77
2014-06-04,23.03
2014-06-05,23.12
2014-06-06,23.06
2014-06-09,23.43
2014-06-10,23.56
2014-06-11,23.47
2014-06-12,23.07
2014-06-13,22.82
2014-06-16,23.05
2014-06-17,23.02
2014-06-18,23.05
2014-06-19,22.97
2014-06-20,22.73
2014-06-23,22.71
2014-06-24,22.57
2014-06-25,22.59
2014-06-26,22.73
2014-06-27,23
2014-06-30,23.23
2014-07-01,23.38
2014-07-02,23.37
2014-07-03,23.51
2014-07-07,23.99
2014-07-08,23.84
2014-07-09,23.85
2014-07-10,23.76
2014-07-11,23.81
2014-07-14,24.11
2014-07-15,23.83
2014-07-16,23.7
2014-07-17,23.27
2014-07-18,23.61
2014-07-21,23.48
2014-07-22,23.68
2014-07-23,24.3
2014-07-24,24.26
2014-07-25,24.42
2014-07-28,24.76
2014-07-29,24.6
2014-07-30,24.54
2014-07-31,23.9
2014-08-01,24.03
2014-08-04,23.9
2014-08-05,23.78
2014-08-06,23.74
2014-08-07,23.62
2014-08-08,23.69
2014-08-11,24
2014-08-12,23.99
2014-08-13,24.31
2014-08-14,24.38
2014-08-15,24.5
2014-08-18,24.79
2014-08-19,25.13
2014-08-20,25.14
2014-08-21,25.15
2014-08-22,25.33
2014-08-25,25.39
2014-08-26,25.22
2014-08-27,25.53
2014-08-28,25.56
2014-08-29,25.63
2014-09-02,25.83
2014-09-03,24.74
2014-09-04,24.53
2014-09-05,24.74
2014-09-08,24.59
2014-09-09,24.5
2014-09-10,25.25
2014-09-11,25.36
2014-09-12,25.42
2014-09-15,25.41
2014-09-16,25.22
2014-09-17,25.4
2014-09-18,25.45
2014-09-19,25.24
2014-09-22,25.27
2014-09-23,25.66
2014-09-24,25.44
2014-09-25,24.47
2014-09-26,25.19
2014-09-29,25.03
2014-09-30,25.19
2014-10-01,24.8
2014-10-02,24.98
2014-10-03,24.91
2014-10-06,24.91
2014-10-07,24.69
2014-10-08,25.2
2014-10-09,25.26
2014-10-10,25.18
2014-10-13,24.95
2014-10-14,24.69
2014-10-15,24.39
2014-10-16,24.07
2014-10-17,24.42
2014-10-20,24.94
2014-10-21,25.62
2014-10-22,25.75
2014-10-23,26.21
2014-10-24,26.31
2014-10-27,26.28
2014-10-28,26.69
2014-10-29,26.84
2014-10-30,26.75
2014-10-31,27
2014-11-03,27.35
2014-11-04,27.15
2014-11-05,27.22
2014-11-06,27.18
2014-11-07,27.25
2014-11-10,27.21
2014-11-11,27.43
2014-11-12,27.81
2014-11-13,28.21
2014-11-14,28.55
2014-11-17,28.5
2014-11-18,28.87
2014-11-19,28.67
2014-11-20,29.08
2014-11-21,29.12
2014-11-24,29.66
2014-11-25,29.4
2014-11-26,29.75
2014-11-28,29.73
2014-12-01,28.77
2014-12-02,28.66
2014-12-03,28.98
2014-12-04,28.87
2014-12-05,28.75
2014-12-08,28.1
2014-12-09,28.53
2014-12-10,27.99
2014-12-11,27.91
2014-12-12,27.43
2014-12-15,27.06
2014-12-16,26.69
2014-12-17,27.35
2014-12-18,28.16
2014-12-19,27.95
2014-12-22,28.24
2014-12-23,28.14
2014-12-24,28
2014-12-26,28.5
2014-12-29,28.48
2014-12-30,28.13
2014-12-31,27.6
2015-01-02,27.33
2015-01-05,26.56
2015-01-06,26.57
2015-01-07,26.94
2015-01-08,27.97
2015-01-09,28
2015-01-12,27.31
2015-01-13,27.56
