Date,Close
2014-06-02,54.91
2014-06-03,55.05
2014-06-04,55.56
2014-06-05,55.34
2014-06-06,55.41
2014-06-09,55.17
2014-06-10,55.16
2014-06-11,54.75
2014-06-12,54.2
2014-06-13,54.31
2014-06-16,54.21
2014-06-17,54.29
2014-06-18,54.68
2014-06-19,54.84
2014-06-20,54.64
2014-06-23,54.27
2014-06-24,53.7
2014-06-25,51.76
2014-06-26,52.03
2014-06-27,52.31
2014-06-30,52.54
2014-07-01,52.9
2014-07-02,53.01
2014-07-03,53.05
2014-07-07,53.42
2014-07-08,53.1
2014-07-09,53.26
2014-07-10,53.02
2014-07-11,52.91
2014-07-14,53.04
2014-07-15,52.93
2014-07-16,53.08
2014-07-17,52.78
2014-07-18,53.06
2014-07-21,52.86
2014-07-22,52.95
2014-07-23,52.9
2014-07-24,52.95
2014-07-25,52.81
2014-07-28,52.87
2014-07-29,52.51
2014-07-30,51.65
2014-07-31,50.15
2014-08-01,50.93
2014-08-04,51.29
2014-08-05,50.88
2014-08-06,51.72
2014-08-07,51.28
2014-08-08,51.97
2014-08-11,52.44
2014-08-12,52.48
2014-08-13,52.55
2014-08-14,52.78
2014-08-15,52.66
2014-08-18,52.99
2014-08-19,53.23
2014-08-20,53.42
2014-08-21,53.22
2014-08-22,52.71
2014-08-25,52.85
2014-08-26,52.98
2014-08-27,53.26
2014-08-28,53.19
2014-08-29,53.38
2014-09-02,53.36
2014-09-03,53.54
2014-09-04,53.48
2014-09-05,53.82
2014-09-08,53.51
2014-09-09,53.17
2014-09-10,53.23
2014-09-11,53.27
2014-09-12,52.79
2014-09-15,53.18
2014-09-16,53.18
2014-09-17,50.83
2014-09-18,51.22
2014-09-19,51.28
2014-09-22,50.75
2014-09-23,50.41
2014-09-24,50.45
2014-09-25,50.12
2014-09-26,50.28
2014-09-29,50.63
2014-09-30,50.45
2014-10-01,49.98
2014-10-02,50.14
2014-10-03,50.47
2014-10-06,50.59
2014-10-07,50.18
2014-10-08,50.15
2014-10-09,49.89
2014-10-10,49.81
2014-10-13,49.28
2014-10-14,49.52
2014-10-15,49.11
2014-10-16,48.86
2014-10-17,49.29
2014-10-20,49.92
2014-10-21,50.46
2014-10-22,50.6
2014-10-23,50.51
2014-10-24,51.03
2014-10-27,51.16
2014-10-28,51.38
2014-10-29,50.9
2014-10-30,51.45
2014-10-31,51.96
2014-11-03,52.66
2014-11-04,52.86
2014-11-05,53.17
2014-11-06,53.27
2014-11-07,51.36
2014-11-10,50.87
2014-11-11,50.97
2014-11-12,50.96
2014-11-13,51
2014-11-14,50.82
2014-11-17,51.35
2014-11-18,51.59
2014-11-19,51.92
2014-11-20,51.64
2014-11-21,51.85
2014-11-24,51.5
2014-11-25,51.65
2014-11-26,51.85
2014-11-28,52.75
2014-12-01,52.63
2014-12-02,53.05
2014-12-03,53.04
2014-12-04,53
2014-12-05,53.12
2014-12-08,52.93
2014-12-09,52.28
2014-12-10,51.99
2014-12-11,52.48
2014-12-12,52.1
2014-12-15,51.47
2014-12-16,51.13
2014-12-17,52.19
2014-12-18,53.51
2014-12-19,53.81
2014-12-22,54.38
2014-12-23,54.41
2014-12-24,54.31
2014-12-26,54.38
2014-12-29,54.31
2014-12-30,54.35
2014-12-31,53.33
2015-01-02,53.11
2015-01-05,52.15
2015-01-06,52.02
2015-01-07,53.12
2015-01-08,53.57
2015-01-09,53.03
2015-01-12,52.65
2015-01-13,52.71
2015-01-14,52.92
2015-01-15,53.45
2015-01-16,53.41
2015-01-20,54.4
2015-01-21,54.08
2015-01-22,54.78
2015-01-23,54.56
2015-01-26,54.95
2015-01-27,55.11
2015-01-28,54.08
2015-01-29,53.63
2015-01-30,52.48
2015-02-02,53.07
2015-02-03,53.26
2015-02-04,53.22
2015-02-05,53.4
2015-02-06,53.16
2015-02-09,53
2015-02-10,53.23
2015-02-11,53.16
2015-02-12,52.93
2015-02-13,52.48
2015-02-17,52.34
2015-02-18,52.88
2015-02-19,53.45
2015-02-20,53.47
2015-02-23,53.49
2015-02-24,53.42
2015-02-25,53.54
2015-02-26,53.42
2015-02-27,53.79
2015-03-02,53.5
2015-03-03,53.48
2015-03-04,53.21
2015-03-05,53.28
2015-03-06,52.13
2015-03-09,52.5
2015-03-10,51.79
2015-03-11,51.7
2015-03-12,52.62
2015-03-13,52.15
2015-03-16,52.41
2015-03-17,52.05
2015-03-18,52.86
2015-03-19,52.54
2015-03-20,53.45
2015-03-23,53.74
2015-03-24,53.2
2015-03-25,53.74
2015-03-26,53.94
2015-03-27,54.99
2015-03-30,56.35
2015-03-31,56.6
2015-04-01,56.48
2015-04-02,56.55
2015-04-06,56.74
2015-04-07,56.08
2015-04-08,55.83
2015-04-09,56.13
2015-04-10,56.49
2015-04-13,56.43
2015-04-14,56.63
2015-04-15,56.45
2015-04-16,56.23
2015-04-17,56.09
2015-04-20,56.45
2015-04-21,56.11
2015-04-22,56.21
2015-04-23,56.29
2015-04-24,56.38
2015-04-27,56.05
2015-04-28,56.1
2015-04-29,55.57
2015-04-30,55.34
2015-05-01,55.7
2015-05-04,55.85
2015-05-05,55.63
2015-05-06,55.3
2015-05-07,55.63
2015-05-08,56.27
2015-05-11,56.07
2015-05-12,56.4
2015-05-13,56.22
2015-05-14,56.84
2015-05-15,57.14
2015-05-18,56.85
2015-05-19,56.86
2015-05-20,56.97
2015-05-21,56.82
2015-05-22,56.52
2015-05-26,55.98
2015-05-27,56.47
2015-05-28,56.25
2015-05-29,56.15
2015-06-01,56.29
2015-06-02,55.86
2015-06-03,55.7
2015-06-04,55.06
2015-06-05,54.42
2015-06-08,54.36
2015-06-09,54.45
2015-06-10,55.09
2015-06-11,55.11
2015-06-12,54.92
2015-06-15,54.4
2015-06-16,55.09
2015-06-17,55.25
2015-06-18,55.85
2015-06-19,56.13
2015-06-22,56.57
2015-06-23,56.56
2015-06-24,56.55
2015-06-25,56.49
2015-06-26,56.93
2015-06-29,56.06
2015-06-30,55.72
2015-07-01,57.09
2015-07-02,57.05
2015-07-06,56.59
2015-07-07,57.89
2015-07-08,56.95
2015-07-09,56.93
2015-07-10,57.27
2015-07-13,57.52
2015-07-14,57.25
2015-07-15,56.81
2015-07-16,57.03
2015-07-17,56.94
2015-07-20,56.83
2015-07-21,57.21
2015-07-22,57.63
2015-07-23,57.08
2015-07-24,56.92
2015-07-27,56.96
2015-07-28,57.55
2015-07-29,57.49
2015-07-30,58.26
2015-07-31,58.21
2015-08-03,58.93
2015-08-04,58.99
2015-08-05,59.4
2015-08-06,59.55
2015-08-07,59.11
2015-08-10,59.4
2015-08-11,59.14
2015-08-12,59.1
2015-08-13,58.89
