Date,Close
2014-06-02,40.79
2014-06-03,40.29
2014-06-04,40.32
2014-06-05,41.21
2014-06-06,41.48
2014-06-09,41.27
2014-06-10,41.11
2014-06-11,40.86
2014-06-12,40.58
2014-06-13,41.23
2014-06-16,41.5
2014-06-17,41.68
2014-06-18,41.65
2014-06-19,41.51
2014-06-20,41.68
2014-06-23,41.99
2014-06-24,41.75
2014-06-25,42.03
2014-06-26,41.72
2014-06-27,42.25
2014-06-30,41.7
2014-07-01,41.87
2014-07-02,41.9
2014-07-03,41.8
2014-07-07,41.99
2014-07-08,41.78
2014-07-09,41.67
2014-07-10,41.69
2014-07-11,42.09
2014-07-14,42.14
2014-07-15,42.45
2014-07-16,44.08
2014-07-17,44.53
2014-07-18,44.69
2014-07-21,44.84
2014-07-22,44.83
2014-07-23,44.87
2014-07-24,44.4
2014-07-25,44.5
2014-07-28,43.97
2014-07-29,43.89
2014-07-30,43.58
2014-07-31,43.16
2014-08-01,42.86
2014-08-04,43.37
2014-08-05,43.08
2014-08-06,42.74
2014-08-07,43.23
2014-08-08,43.2
2014-08-11,43.2
2014-08-12,43.52
2014-08-13,44.08
2014-08-14,44.27
2014-08-15,44.79
2014-08-18,45.11
2014-08-19,45.33
2014-08-20,44.95
2014-08-21,45.22
2014-08-22,45.15
2014-08-25,45.17
2014-08-26,45.01
2014-08-27,44.87
2014-08-28,44.88
2014-08-29,45.43
2014-09-02,45.09
2014-09-03,44.96
2014-09-04,45.26
2014-09-05,45.91
2014-09-08,46.47
2014-09-09,46.76
2014-09-10,46.84
2014-09-11,47
2014-09-12,46.7
2014-09-15,46.24
2014-09-16,46.76
2014-09-17,46.52
2014-09-18,46.68
2014-09-19,47.52
2014-09-22,47.06
2014-09-23,46.56
2014-09-24,47.08
2014-09-25,46.04
2014-09-26,46.41
2014-09-29,46.44
2014-09-30,46.36
2014-10-01,45.9
2014-10-02,45.76
2014-10-03,46.09
2014-10-06,46.09
2014-10-07,45.53
2014-10-08,46.78
2014-10-09,45.85
2014-10-10,44.03
2014-10-13,43.65
2014-10-14,43.73
2014-10-15,43.22
2014-10-16,42.74
2014-10-17,43.63
2014-10-20,44.08
2014-10-21,44.88
2014-10-22,44.38
2014-10-23,45.02
2014-10-24,46.13
2014-10-27,45.91
2014-10-28,46.49
2014-10-29,46.62
2014-10-30,46.05
2014-10-31,46.95
2014-11-03,47.44
2014-11-04,47.57
2014-11-05,47.86
2014-11-06,48.7
2014-11-07,48.68
2014-11-10,48.89
2014-11-11,48.87
2014-11-12,48.78
2014-11-13,49.61
2014-11-14,49.58
2014-11-17,49.46
2014-11-18,48.74
2014-11-19,48.22
2014-11-20,48.7
2014-11-21,47.98
2014-11-24,47.59
2014-11-25,47.47
2014-11-26,47.75
2014-11-28,47.81
2014-12-01,48.62
2014-12-02,48.46
2014-12-03,48.08
2014-12-04,48.84
2014-12-05,48.42
2014-12-08,47.7
2014-12-09,47.59
2014-12-10,46.9
2014-12-11,47.17
2014-12-12,46.95
2014-12-15,46.67
2014-12-16,45.16
2014-12-17,45.74
2014-12-18,47.52
2014-12-19,47.66
2014-12-22,47.98
2014-12-23,48.45
2014-12-24,48.14
2014-12-26,47.88
2014-12-29,47.45
2014-12-30,47.02
2014-12-31,46.45
2015-01-02,46.76
2015-01-05,46.33
2015-01-06,45.65
2015-01-07,46.23
2015-01-08,47.59
2015-01-09,47.19
2015-01-12,46.6
2015-01-13,46.36
2015-01-14,45.96
2015-01-15,45.48
2015-01-16,46.24
2015-01-20,46.39
2015-01-21,45.92
2015-01-22,47.13
2015-01-23,47.18
2015-01-26,47.01
2015-01-27,42.66
2015-01-28,41.19
2015-01-29,42.01
2015-01-30,40.4
2015-02-02,41.28
2015-02-03,41.6
2015-02-04,41.84
2015-02-05,42.45
2015-02-06,42.41
2015-02-09,42.36
2015-02-10,42.6
2015-02-11,42.38
2015-02-12,43.09
2015-02-13,43.87
2015-02-17,43.58
2015-02-18,43.53
2015-02-19,43.5
2015-02-20,43.86
2015-02-23,44.15
2015-02-24,44.09
2015-02-25,43.99
2015-02-26,44.06
2015-02-27,43.85
2015-03-02,43.88
2015-03-03,43.28
2015-03-04,43.06
2015-03-05,43.11
2015-03-06,42.36
2015-03-09,42.85
2015-03-10,42.03
2015-03-11,41.98
2015-03-12,41.02
2015-03-13,41.38
2015-03-16,41.56
2015-03-17,41.7
2015-03-18,42.5
2015-03-19,42.29
2015-03-20,42.88
2015-03-23,42.86
2015-03-24,42.9
2015-03-25,41.46
2015-03-26,41.21
2015-03-27,40.97
2015-03-30,40.96
2015-03-31,40.66
2015-04-01,40.72
2015-04-02,40.29
2015-04-06,41.55
2015-04-07,41.53
2015-04-08,41.42
2015-04-09,41.48
2015-04-10,41.72
2015-04-13,41.76
2015-04-14,41.65
2015-04-15,42.26
2015-04-16,42.16
2015-04-17,41.62
2015-04-20,42.91
2015-04-21,42.64
2015-04-22,42.99
2015-04-23,43.34
2015-04-24,47.87
2015-04-27,48.03
2015-04-28,49.16
2015-04-29,49.06
2015-04-30,48.64
2015-05-01,48.66
2015-05-04,48.24
2015-05-05,47.6
2015-05-06,46.28
2015-05-07,46.7
2015-05-08,47.75
2015-05-11,47.37
2015-05-12,47.35
2015-05-13,47.63
2015-05-14,48.72
2015-05-15,48.3
2015-05-18,48.01
2015-05-19,47.58
2015-05-20,47.58
2015-05-21,47.42
2015-05-22,46.9
2015-05-26,46.59
2015-05-27,47.61
2015-05-28,47.45
2015-05-29,46.86
2015-06-01,47.23
2015-06-02,46.92
2015-06-03,46.85
2015-06-04,46.36
2015-06-05,46.14
2015-06-08,45.73
2015-06-09,45.65
2015-06-10,46.61
2015-06-11,46.44
2015-06-12,45.97
2015-06-15,45.48
2015-06-16,45.83
2015-06-17,45.97
2015-06-18,46.72
2015-06-19,46.1
2015-06-22,46.23
2015-06-23,45.91
2015-06-24,45.64
2015-06-25,45.65
2015-06-26,45.26
2015-06-29,44.37
2015-06-30,44.15
2015-07-01,44.45
2015-07-02,44.4
2015-07-06,44.39
2015-07-07,44.3
2015-07-08,44.24
2015-07-09,44.52
2015-07-10,44.61
2015-07-13,45.54
2015-07-14,45.62
2015-07-15,45.76
2015-07-16,46.66
2015-07-17,46.62
2015-07-20,46.92
2015-07-21,47.28
2015-07-22,45.54
2015-07-23,46.11
2015-07-24,45.94
2015-07-27,45.35
2015-07-28,45.34
2015-07-29,46.29
2015-07-30,46.88
2015-07-31,46.7
2015-08-03,46.81
2015-08-04,47.54
2015-08-05,47.58
2015-08-06,46.62
2015-08-07,46.74
2015-08-10,47.33
2015-08-11,46.41
2015-08-12,46.74
2015-08-13,46.73
2015-08-14,47
2015-08-17,47.32
2015-08-18,47.27
2015-08-19,46.61
2015-08-20,45.66
2015-08-21,43.07
2015-08-24,41.68
2015-08-25,40.47
2015-08-26,42.71
2015-08-27,43.9
2015-08-28,43.93
2015-08-31,43.52
2015-09-01,41.82
2015-09-02,43.36
2015-09-03,43.5
2015-09-04,42.61
2015-09-08,43.89
2015-09-09,43.07
2015-09-10,43.29
2015-09-11,43.48
2015-09-14,43.04
2015-09-15,43.98
2015-09-16,44.3
2015-09-17,44.25
2015-09-18,43.48
2015-09-21,44.11
2015-09-22,43.9
2015-09-23,43.87
2015-09-24,43.91
2015-09-25,43.94
2015-09-28,43.29
2015-09-29,43.44
2015-09-30,44.26
2015-10-01,44.61
2015-10-02,45.57
2015-10-05,46.63
2015-10-06,46.75
2015-10-07,46.8
2015-10-08,47.45
2015-10-09,47.11
2015-10-12,47
2015-10-13,46.89
2015-10-14,46.68
2015-10-15,47.01
2015-10-16,47.51
2015-10-19,47.62
2015-10-20,47.77
2015-10-21,47.2
2015-10-22,48.03
2015-10-23,52.87
2015-10-26,54.25
2015-10-27,53.69
2015-10-28,53.98
2015-10-29,53.36
2015-10-30,52.64
2015-11-02,53.24
2015-11-03,54.15
2015-11-04,54.4
2015-11-05,54.38
2015-11-06,54.92
2015-11-09,54.16
2015-11-10,53.51
2015-11-11,53.65
2015-11-12,53.32
2015-11-13,52.84
2015-11-16,53.77
2015-11-17,52.97
2015-11-18,53.85
2015-11-19,53.94
2015-11-20,54.19
2015-11-23,54.19
2015-11-24,54.25
2015-11-25,53.69
2015-11-27,53.93
2015-11-30,54.35
2015-12-01,55.22
2015-12-02,55.21
2015-12-03,54.2
2015-12-04,55.91
2015-12-07,55.81
2015-12-08,55.79
2015-12-09,54.98
2015-12-10,55.27
2015-12-11,54.06
2015-12-14,55.14
2015-12-15,55.2
2015-12-16,56.13
2015-12-17,55.7
2015-12-18,54.13
2015-12-21,54.83
2015-12-22,55.35
2015-12-23,55.82
2015-12-24,55.67
2015-12-28,55.95
2015-12-29,56.55
2015-12-30,56.31
2015-12-31,55.48
2016-01-04,54.8
2016-01-05,55.05
2016-01-06,54.05
2016-01-07,52.17
2016-01-08,52.33
2016-01-11,52.3
2016-01-12,52.78
2016-01-13,51.64
2016-01-14,53.11
2016-01-15,50.99
2016-01-19,50.56
2016-01-20,50.79
2016-01-21,50.48
2016-01-22,52.29
2016-01-25,51.79
2016-01-26,52.17
2016-01-27,51.22
2016-01-28,52.06
2016-01-29,55.09
2016-02-01,54.71
2016-02-02,53
2016-02-03,52.16
2016-02-04,52
2016-02-05,50.16
2016-02-08,49.41
2016-02-09,49.28
2016-02-10,49.71
2016-02-11,49.69
2016-02-12,50.5
2016-02-16,51.09
2016-02-17,52.42
2016-02-18,52.19
2016-02-19,51.82
2016-02-22,52.65
2016-02-23,51.18
2016-02-24,51.36
2016-02-25,52.1
2016-02-26,51.3
2016-02-29,50.88
2016-03-01,52.58
2016-03-02,52.95
2016-03-03,52.35
2016-03-04,52.03
2016-03-07,51.03
2016-03-08,51.65
2016-03-09,52.84
2016-03-10,52.05
2016-03-11,53.07
2016-03-14,53.17
2016-03-15,53.59
2016-03-16,54.35
2016-03-17,54.66
2016-03-18,53.49
2016-03-21,53.86
2016-03-22,54.07
2016-03-23,53.97
2016-03-24,54.21
2016-03-28,53.54
2016-03-29,54.71
2016-03-30,55.05
2016-03-31,55.23
2016-04-01,55.57
2016-04-04,55.43
2016-04-05,54.56
2016-04-06,55.12
2016-04-07,54.46
2016-04-08,54.42
2016-04-11,54.31
2016-04-12,54.65
2016-04-13,55.35
2016-04-14,55.36
2016-04-15,55.65
2016-04-18,56.46
2016-04-19,56.39
2016-04-20,55.59
2016-04-21,55.78
2016-04-22,51.78
2016-04-25,52.11
2016-04-26,51.44
2016-04-27,50.94
2016-04-28,49.9
2016-04-29,49.87
2016-05-02,50.61
2016-05-03,49.78
2016-05-04,49.87
2016-05-05,49.94
2016-05-06,50.39
2016-05-09,50.07
2016-05-10,51.02
2016-05-11,51.05
2016-05-12,51.51
2016-05-13,51.08
2016-05-16,51.83
2016-05-17,50.51
2016-05-18,50.81
2016-05-19,50.32
2016-05-20,50.62
2016-05-23,50.03
2016-05-24,51.59
2016-05-25,52.12
2016-05-26,51.89
2016-05-27,52.32
2016-05-31,53
2016-06-01,52.85
2016-06-02,52.48
2016-06-03,51.79
2016-06-06,52.13
2016-06-07,52.1
2016-06-08,52.04
2016-06-09,51.62
2016-06-10,51.48
2016-06-13,50.14
2016-06-14,49.83
2016-06-15,49.69
2016-06-16,50.39
2016-06-17,50.13
2016-06-20,50.07
2016-06-21,51.19
2016-06-22,50.99
2016-06-23,51.91
2016-06-24,49.83
2016-06-27,48.43
2016-06-28,49.44
2016-06-29,50.54
2016-06-30,51.17
2016-07-01,51.16
2016-07-05,51.17
2016-07-06,51.38
2016-07-07,51.38
2016-07-08,52.3
2016-07-11,52.59
2016-07-12,53.21
2016-07-13,53.51
2016-07-14,53.74
2016-07-15,53.7
2016-07-18,53.96
2016-07-19,53.09
2016-07-20,55.91
2016-07-21,55.8
2016-07-22,56.57
2016-07-25,56.73
2016-07-26,56.76
2016-07-27,56.19
2016-07-28,56.21
2016-07-29,56.68
2016-08-01,56.58
2016-08-02,56.58
2016-08-03,56.97
2016-08-04,57.39
2016-08-05,57.96
2016-08-08,58.06
2016-08-09,58.2
2016-08-10,58.02
2016-08-11,58.3
2016-08-12,57.94
2016-08-15,58.12
2016-08-16,57.44
2016-08-17,57.56
2016-08-18,57.6
2016-08-19,57.62
2016-08-22,57.67
2016-08-23,57.89
2016-08-24,57.95
2016-08-25,58.17
2016-08-26,58.03
2016-08-29,58.1
2016-08-30,57.89
2016-08-31,57.46
2016-09-01,57.59
2016-09-02,57.67
2016-09-06,57.61
2016-09-07,57.66
2016-09-08,57.43
2016-09-09,56.21
2016-09-12,57.05
2016-09-13,56.53
2016-09-14,56.26
2016-09-15,57.19
2016-09-16,57.25
2016-09-19,56.93
2016-09-20,56.81
2016-09-21,57.76
2016-09-22,57.82
2016-09-23,57.43
2016-09-26,56.9
2016-09-27,57.95
2016-09-28,58.03
2016-09-29,57.4
2016-09-30,57.6
2016-10-03,57.42
2016-10-04,57.24
2016-10-05,57.64
2016-10-06,57.74
2016-10-07,57.8
2016-10-10,58.04
2016-10-11,57.19
2016-10-12,57.11
2016-10-13,56.92
2016-10-14,57.42
2016-10-17,57.22
2016-10-18,57.66
2016-10-19,57.53
2016-10-20,57.25
2016-10-21,59.66
2016-10-24,61
2016-10-25,60.99
2016-10-26,60.63
2016-10-27,60.1
2016-10-28,59.87
2016-10-31,59.92
2016-11-01,59.8
2016-11-02,59.43
2016-11-03,59.21
2016-11-04,58.71
2016-11-07,60.42
2016-11-08,60.47
2016-11-09,60.17
2016-11-10,58.7
2016-11-11,59.02
2016-11-14,58.12
2016-11-15,58.87
2016-11-16,59.65
2016-11-17,60.64
2016-11-18,60.35
2016-11-21,60.86
2016-11-22,61.12
2016-11-23,60.4
2016-11-25,60.53
2016-11-28,60.61
2016-11-29,61.09
2016-11-30,60.26
2016-12-01,59.2
2016-12-02,59.25
2016-12-05,60.22
2016-12-06,59.95
2016-12-07,61.37
2016-12-08,61.01
2016-12-09,61.97
2016-12-12,62.17
2016-12-13,62.98
2016-12-14,62.68
2016-12-15,62.58
2016-12-16,62.3
2016-12-19,63.62
2016-12-20,63.54
2016-12-21,63.54
2016-12-22,63.55
2016-12-23,63.24
2016-12-27,63.28
2016-12-28,62.99
2016-12-29,62.9
2016-12-30,62.14
2017-01-03,62.58
2017-01-04,62.3
2017-01-05,62.3
2017-01-06,62.84
2017-01-09,62.64
2017-01-10,62.62
2017-01-11,63.19
2017-01-12,62.61
2017-01-13,62.7
2017-01-17,62.53
2017-01-18,62.5
2017-01-19,62.3
2017-01-20,62.74
2017-01-23,62.96
2017-01-24,63.52
2017-01-25,63.68
2017-01-26,64.27
2017-01-27,65.78
2017-01-30,65.13
2017-01-31,64.65
2017-02-01,63.58
2017-02-02,63.17
2017-02-03,63.68
2017-02-06,63.64
2017-02-07,63.43
2017-02-08,63.34
2017-02-09,64.06
2017-02-10,64
2017-02-13,64.72
2017-02-14,64.57
2017-02-15,64.53
2017-02-16,64.52
2017-02-17,64.62
2017-02-21,64.49
2017-02-22,64.36
2017-02-23,64.62
2017-02-24,64.62
2017-02-27,64.23
2017-02-28,63.98
2017-03-01,64.94
2017-03-02,64.01
2017-03-03,64.25
2017-03-06,64.27
2017-03-07,64.4
2017-03-08,64.99
2017-03-09,64.73
2017-03-10,64.93
2017-03-13,64.71
2017-03-14,64.41
2017-03-15,64.75
2017-03-16,64.64
2017-03-17,64.87
2017-03-20,64.93
2017-03-21,64.21
2017-03-22,65.03
2017-03-23,64.87
2017-03-24,64.98
2017-03-27,65.1
2017-03-28,65.29
2017-03-29,65.47
2017-03-30,65.71
2017-03-31,65.86
2017-04-03,65.55
2017-04-04,65.73
2017-04-05,65.56
2017-04-06,65.73
2017-04-07,65.68
2017-04-10,65.53
2017-04-11,65.48
2017-04-12,65.23
2017-04-13,64.95
2017-04-17,65.48
2017-04-18,65.39
2017-04-19,65.04
2017-04-20,65.5
2017-04-21,66.4
2017-04-24,67.53
2017-04-25,67.92
2017-04-26,67.83
2017-04-27,68.27
2017-04-28,68.46
2017-05-01,69.41
2017-05-02,69.3
2017-05-03,69.08
2017-05-04,68.81
2017-05-05,69
2017-05-08,68.94
2017-05-09,69.04
2017-05-10,69.31
2017-05-11,68.46
2017-05-12,68.38
2017-05-15,68.43
2017-05-16,69.41
2017-05-17,67.48
2017-05-18,67.71
2017-05-19,67.69
2017-05-22,68.45
2017-05-23,68.68
2017-05-24,68.77
2017-05-25,69.62
2017-05-26,69.96
2017-05-30,70.41
2017-05-31,69.84
2017-06-01,70.1
2017-06-02,71.76
2017-06-05,72.28
2017-06-06,72.52
2017-06-07,72.39
2017-06-08,71.95
2017-06-09,70.32
2017-06-12,69.78
2017-06-13,70.65
2017-06-14,70.27
2017-06-15,69.9
2017-06-16,70
2017-06-19,70.87
2017-06-20,69.91
2017-06-21,70.27
2017-06-22,70.26
2017-06-23,71.21
2017-06-26,70.53
2017-06-27,69.21
2017-06-28,69.8
2017-06-29,68.49
2017-06-30,68.93
2017-07-03,68.17
2017-07-05,69.08
2017-07-06,68.57
2017-07-07,69.46
2017-07-10,69.98
2017-07-11,69.99
2017-07-12,71.15
2017-07-13,71.77
2017-07-14,72.78
2017-07-17,73.35
2017-07-18,73.3
2017-07-19,73.86
2017-07-20,74.22
2017-07-21,73.79
2017-07-24,73.6
2017-07-25,74.19
2017-07-26,74.05
2017-07-27,73.16
2017-07-28,73.04
2017-07-31,72.7
2017-08-01,72.58
2017-08-02,72.26
2017-08-03,72.15
2017-08-04,72.68
2017-08-07,72.4
2017-08-08,72.79
2017-08-09,72.47
2017-08-10,71.41
2017-08-11,72.5
2017-08-14,73.59
2017-08-15,73.22
2017-08-16,73.65
2017-08-17,72.4
2017-08-18,72.49
2017-08-21,72.15
2017-08-22,73.16
2017-08-23,72.72
2017-08-24,72.69
2017-08-25,72.82
2017-08-28,72.83
2017-08-29,73.05
2017-08-30,74.01
2017-08-31,74.77
2017-09-01,73.94
2017-09-05,73.61
2017-09-06,73.4
2017-09-07,74.34
2017-09-08,73.98
2017-09-11,74.76
2017-09-12,74.68
2017-09-13,75.21
2017-09-14,74.77
2017-09-15,75.31
2017-09-18,75.16
2017-09-19,75.44
2017-09-20,74.94
2017-09-21,74.21
2017-09-22,74.41
2017-09-25,73.26
2017-09-26,73.26
2017-09-27,73.85
2017-09-28,73.87
2017-09-29,74.49
2017-10-02,74.61
2017-10-03,74.26
2017-10-04,74.69
2017-10-05,75.97
2017-10-06,76
2017-10-09,76.29
2017-10-10,76.29
2017-10-11,76.42
2017-10-12,77.12
2017-10-13,77.49
2017-10-16,77.65
2017-10-17,77.59
2017-10-18,77.61
2017-10-19,77.91
2017-10-20,78.81
2017-10-23,78.83
2017-10-24,78.86
2017-10-25,78.63
2017-10-26,78.76
2017-10-27,83.81
2017-10-30,83.89
2017-10-31,83.18
2017-11-01,83.18
2017-11-02,84.05
2017-11-03,84.14
2017-11-06,84.47
2017-11-07,84.27
2017-11-08,84.56
2017-11-09,84.09
2017-11-10,83.87
2017-11-13,83.93
2017-11-14,84.05
2017-11-15,82.98
2017-11-16,83.2
2017-11-17,82.4
2017-11-20,82.53
2017-11-21,83.72
2017-11-22,83.11
2017-11-24,83.26
2017-11-27,83.87
2017-11-28,84.88
2017-11-29,83.34
2017-11-30,84.17
2017-12-01,84.26
2017-12-04,81.08
2017-12-05,81.59
2017-12-06,82.78
2017-12-07,82.49
2017-12-08,84.16
2017-12-11,85.23
2017-12-12,85.58
2017-12-13,85.35
2017-12-14,84.69
2017-12-15,86.85
2017-12-18,86.38
2017-12-19,85.83
2017-12-20,85.52
2017-12-21,85.5
2017-12-22,85.51
2017-12-26,85.4
2017-12-27,85.71
2017-12-28,85.72
2017-12-29,85.54
2018-01-02,85.95
2018-01-03,86.35
2018-01-04,87.11
2018-01-05,88.19
2018-01-08,88.28
2018-01-09,88.22
2018-01-10,87.82
2018-01-11,88.08
2018-01-12,89.6
2018-01-16,88.35
2018-01-17,90.14
2018-01-18,90.1
2018-01-19,90
2018-01-22,91.61
2018-01-23,91.9
2018-01-24,91.82
2018-01-25,92.33
2018-01-26,94.06
2018-01-29,93.92
2018-01-30,92.74
2018-01-31,95.01
2018-02-01,94.26
2018-02-02,91.78
2018-02-05,88
2018-02-06,91.33
2018-02-07,89.61
2018-02-08,85.01
2018-02-09,88.18
2018-02-12,89.13
2018-02-13,89.83
2018-02-14,90.81
2018-02-15,92.66
2018-02-16,92
2018-02-20,92.72
2018-02-21,91.49
2018-02-22,91.73
2018-02-23,94.06
2018-02-26,95.42
2018-02-27,94.2
2018-02-28,93.77
2018-03-01,92.85
2018-03-02,93.05
2018-03-05,93.64
2018-03-06,93.32
2018-03-07,93.86
2018-03-08,94.43
2018-03-09,96.54
2018-03-12,96.77
2018-03-13,94.41
2018-03-14,93.85
2018-03-15,94.18
2018-03-16,94.6
2018-03-19,92.89
2018-03-20,93.13
2018-03-21,92.48
2018-03-22,89.79
2018-03-23,87.18
2018-03-26,93.78
2018-03-27,89.47
2018-03-28,89.39
2018-03-29,91.27
2018-04-02,88.52
2018-04-03,89.71
2018-04-04,92.33
2018-04-05,92.38
2018-04-06,90.23
2018-04-09,90.77
2018-04-10,92.88
2018-04-11,91.86
2018-04-12,93.58
2018-04-13,93.08
2018-04-16,94.17
2018-04-17,96.07
2018-04-18,96.07
2018-04-19,96.11
2018-04-20,95
2018-04-23,95.35
2018-04-24,93.12
2018-04-25,92.31
2018-04-26,94.26
2018-04-27,95.82
2018-04-30,93.52
2018-05-01,95
2018-05-02,93.51
2018-05-03,94.07
2018-05-04,95.16
2018-05-07,96.22
2018-05-08,95.81
2018-05-09,96.94
2018-05-10,97.91
2018-05-11,97.7
2018-05-14,98.03
2018-05-15,97.32
2018-05-16,97.15
2018-05-17,96.18
2018-05-18,96.36
2018-05-21,97.6
2018-05-22,97.5
2018-05-23,98.66
2018-05-24,98.31
2018-05-25,98.36
2018-05-29,98.01
2018-05-30,98.95
2018-05-31,98.84
2018-06-01,100.79
2018-06-04,101.67
2018-06-05,102.19
2018-06-06,102.49
2018-06-07,100.88
2018-06-08,101.63
2018-06-11,101.05
2018-06-12,101.31
2018-06-13,100.85
2018-06-14,101.42
2018-06-15,100.13
2018-06-18,100.86
2018-06-19,100.86
2018-06-20,101.87
2018-06-21,101.14
2018-06-22,100.41
2018-06-25,98.39
2018-06-26,99.08
2018-06-27,97.54
2018-06-28,98.63
2018-06-29,98.61
2018-07-02,100.01
2018-07-03,99.05
2018-07-05,99.76
2018-07-06,101.16
2018-07-09,101.85
2018-07-10,102.12
2018-07-11,101.98
2018-07-12,104.19
2018-07-13,105.43
2018-07-16,104.91
2018-07-17,105.95
2018-07-18,105.12
2018-07-19,104.4
2018-07-20,106.27
2018-07-23,107.97
2018-07-24,107.66
2018-07-25,110.83
2018-07-26,109.62
2018-07-27,107.68
2018-07-30,105.37
2018-07-31,106.08
2018-08-01,106.28
2018-08-02,107.57
2018-08-03,108.04
2018-08-06,108.13
2018-08-07,108.88
2018-08-08,109.49
2018-08-09,109.67
2018-08-10,109
2018-08-13,108.21
2018-08-14,109.56
2018-08-15,107.66
2018-08-16,107.64
2018-08-17,107.58
2018-08-20,106.87
2018-08-21,105.98
2018-08-22,107.06
2018-08-23,107.56
2018-08-24,108.4
2018-08-27,109.6
2018-08-28,110.26
2018-08-29,112.02
2018-08-30,111.95
2018-08-31,112.33
2018-09-04,111.71
2018-09-05,108.49
2018-09-06,108.74
2018-09-07,108.21
2018-09-10,109.38
2018-09-11,111.24
2018-09-12,111.71
2018-09-13,112.91
2018-09-14,113.37
2018-09-17,112.14
2018-09-18,113.21
2018-09-19,111.7
2018-09-20,113.57
2018-09-21,114.26
2018-09-24,114.67
2018-09-25,114.45
2018-09-26,113.98
2018-09-27,114.41
2018-09-28,114.37
2018-10-01,115.61
2018-10-02,115.15
2018-10-03,115.17
2018-10-04,112.79
2018-10-05,112.13
2018-10-08,110.85
2018-10-09,112.26
2018-10-10,106.16
2018-10-11,105.91
2018-10-12,109.57
2018-10-15,107.6
2018-10-16,111
2018-10-17,110.71
2018-10-18,108.5
2018-10-19,108.66
2018-10-22,109.63
2018-10-23,108.1
2018-10-24,102.32
2018-10-25,108.3
2018-10-26,106.96
2018-10-29,103.85
2018-10-30,103.73
2018-10-31,106.81
2018-11-01,105.92
2018-11-02,106.16
2018-11-05,107.51
2018-11-06,107.72
2018-11-07,111.96
2018-11-08,111.75
2018-11-09,109.57
2018-11-12,106.87
2018-11-13,106.94
2018-11-14,104.97
2018-11-15,107.28
2018-11-16,108.29
2018-11-19,104.62
2018-11-20,101.71
2018-11-21,103.11
2018-11-23,103.07
2018-11-26,106.47
2018-11-27,107.14
2018-11-28,111.12
2018-11-29,110.19
2018-11-30,110.89
2018-12-03,112.09
2018-12-04,108.52
2018-12-06,109.19
2018-12-07,104.82
2018-12-10,107.59
2018-12-11,108.59
2018-12-12,109.08
2018-12-13,109.45
2018-12-14,106.03
2018-12-17,102.89
2018-12-18,103.97
2018-12-19,103.69
2018-12-20,101.51
2018-12-21,98.23
2018-12-24,94.13
2018-12-26,100.56
2018-12-27,101.18
2018-12-28,100.39
2018-12-31,101.57
2019-01-02,101.12
2019-01-03,97.4
2019-01-04,101.93
2019-01-07,102.06
2019-01-08,102.8
2019-01-09,104.27
2019-01-10,103.6
2019-01-11,102.8
2019-01-14,102.05
2019-01-15,105.01
2019-01-16,105.38
2019-01-17,106.12
2019-01-18,107.71
2019-01-22,105.68
2019-01-23,106.71
2019-01-24,106.2
2019-01-25,107.17
2019-01-28,105.08
2019-01-29,102.94
2019-01-30,106.38
2019-01-31,104.43
2019-02-01,102.78
2019-02-04,105.74
2019-02-05,107.22
2019-02-06,106.03
2019-02-07,105.27
2019-02-08,105.67
2019-02-11,105.25
