Date,Close
2019-01-02,42.38
2019-01-03,40.71
2019-01-04,43.03
2019-01-07,43.71
2019-01-08,45.03
2019-01-09,45.74
2019-01-10,46.17
2019-01-11,46.19
2019-01-14,45.54
2019-01-15,46.03
2019-01-16,45.85
2019-01-17,46.79
2019-01-18,47.53
2019-01-22,46.6
2019-01-23,46.72
2019-01-24,46.99
2019-01-25,47.93
2019-01-28,48.37
2019-01-29,48.72
2019-01-30,50.85
2019-01-31,51.43
2019-02-01,51.47
2019-02-04,52.08
2019-02-05,51.81
2019-02-06,52.62
2019-02-07,51.35
2019-02-08,51.31
2019-02-11,51.88
2019-02-12,51.82
2019-02-13,52.54
2019-02-14,52.19
2019-02-15,53.03
2019-02-19,53.38
2019-02-20,53.7
2019-02-21,55.52
2019-02-22,55.35
2019-02-25,55.94
2019-02-26,55.57
2019-02-27,54.92
2019-02-28,55.53
2019-03-01,55.27
2019-03-04,54.6
2019-03-05,55.45
2019-03-06,55.12
2019-03-07,54.66
2019-03-08,55.01
2019-03-11,55.46
2019-03-12,55.35
2019-03-13,55.08
2019-03-14,55.16
2019-03-15,55.55
2019-03-18,56.16
2019-03-19,56.11
2019-03-20,55.87
2019-03-21,56.5
2019-03-22,55.62
2019-03-25,55.17
2019-03-26,54.48
2019-03-27,53.94
2019-03-28,54.33
2019-03-29,54.96
2019-04-01,56.11
2019-04-02,56.5
2019-04-03,56.76
2019-04-04,56.73
2019-04-05,57.13
2019-04-08,57.29
2019-04-09,55.88
2019-04-10,56.5
2019-04-11,57.48
2019-04-12,58.6
2019-04-15,58.67
2019-04-16,59.56
2019-04-17,57.84
2019-04-18,56.92
2019-04-22,56.6
2019-04-23,57.3
2019-04-24,56.98
2019-04-25,56.8
2019-04-26,57.27
2019-04-29,57.08
2019-04-30,56.39
2019-05-01,58
2019-05-02,56.9
2019-05-03,58.25
2019-05-06,58.29
2019-05-07,57.19
2019-05-08,57.34
2019-05-09,57.59
2019-05-10,57.9
2019-05-13,55.29
2019-05-14,56.3
2019-05-15,56.73
2019-05-16,57.55
2019-05-17,56.92
2019-05-20,55.89
2019-05-21,56.77
2019-05-22,56.81
2019-05-23,55.55
2019-05-24,55.38
2019-05-28,55.22
2019-05-29,54.66
2019-05-30,55.16
2019-05-31,54.71
2019-06-03,54.3
2019-06-04,54.26
2019-06-05,52.38
2019-06-06,51.94
2019-06-07,52.59
2019-06-10,53.83
2019-06-11,53.59
2019-06-12,53.84
2019-06-13,53.72
2019-06-14,54.28
2019-06-17,53.04
2019-06-18,53.75
2019-06-19,53.91
2019-06-20,52.56
2019-06-21,51.11
2019-06-24,50.83
2019-06-25,50.86
2019-06-26,50.41
2019-06-27,51.84
2019-06-28,53.63
2019-07-01,52.82
2019-07-02,53.73
2019-07-03,52.76
2019-07-05,51.95
2019-07-08,50.25
2019-07-09,50.76
2019-07-10,49.65
2019-07-11,49.62
2019-07-12,49.79
2019-07-15,50.36
2019-07-16,50.82
2019-07-17,49.4
2019-07-18,49.28
2019-07-19,48.6
2019-07-22,47.92
2019-07-23,48.45
2019-07-24,49.46
2019-07-25,48.76
2019-07-26,49.04
2019-07-29,49.1
2019-07-30,48.5
2019-07-31,49.44
2019-08-01,48.57
2019-08-02,47.45
2019-08-05,46.05
2019-08-06,46.92
2019-08-07,47.64
2019-08-08,48.6
2019-08-09,49.66
2019-08-12,49.36
2019-08-13,50.44
2019-08-14,48.91
2019-08-15,49.11
2019-08-16,50.48
2019-08-19,51.35
2019-08-20,50.98
2019-08-21,50.9
2019-08-22,50.5
2019-08-23,49.72
2019-08-26,49.48
2019-08-27,49.09
2019-08-28,49.57
2019-08-29,50.23
2019-08-30,50.75
2019-09-03,50.58
2019-09-04,51.04
2019-09-05,52.31
2019-09-06,52.12
2019-09-09,52.94
2019-09-10,54.67
2019-09-11,54.6
2019-09-12,54.42
2019-09-13,54.68
2019-09-16,53.34
2019-09-17,53.96
2019-09-18,53.88
2019-09-19,53.77
2019-09-20,53.67
2019-09-23,53.51
2019-09-24,53.11
2019-09-25,53.3
2019-09-26,51.26
2019-09-27,51.02
2019-09-30,51.77
2019-10-01,50.76
2019-10-02,49.14
2019-10-03,48.14
2019-10-04,48.44
2019-10-07,48.56
2019-10-08,47.17
2019-10-09,47.21
2019-10-10,48.09
2019-10-11,49.16
2019-10-14,49.33
2019-10-15,49.61
2019-10-16,49.33
2019-10-17,49.78
2019-10-18,50.21
2019-10-21,50.95
2019-10-22,49.97
2019-10-23,50.69
2019-10-24,50.97
2019-10-25,51.47
2019-10-28,51.89
2019-10-29,52.62
2019-10-30,51.19
2019-10-31,50.76
2019-11-01,51.33
2019-11-04,52.29
2019-11-05,52.49
2019-11-06,52.06
2019-11-07,52.22
2019-11-08,51.82
2019-11-11,51.92
2019-11-12,51.26
2019-11-13,52.12
2019-11-14,52.41
2019-11-15,53.06
2019-11-18,53.49
2019-11-19,53.66
2019-11-20,52.78
2019-11-21,53.42
2019-11-22,54.01
2019-11-25,53.97
2019-11-26,53.93
2019-11-27,54.64
2019-11-29,53.64
2019-12-02,53.15
2019-12-03,52.86
2019-12-04,53.61
2019-12-05,54.25
2019-12-06,54.71
2019-12-09,54.86
2019-12-10,54.78
2019-12-11,55.41
2019-12-12,56.13
2019-12-13,55.78
2019-12-16,55.22
2019-12-17,55.27
2019-12-18,54.83
2019-12-19,55.34
2019-12-20,57.56
2019-12-23,58.51
2019-12-24,58.38
2019-12-26,59.11
2019-12-27,59.11
2019-12-30,58.59
2019-12-31,58.41
2020-01-02,58.83
2020-01-03,57.6
2020-01-06,56.8
2020-01-07,56.97
2020-01-08,57.57
2020-01-09,58.06
2020-01-10,57.96
2020-01-13,57.84
2020-01-14,57.9
2020-01-15,57.54
2020-01-16,58.58
2020-01-17,59.65
2020-01-21,57.95
2020-01-22,57.63
2020-01-23,58.22
2020-01-24,55.84
2020-01-27,54.16
2020-01-28,55
2020-01-29,56.02
2020-01-30,54.8
2020-01-31,53.85
2020-02-03,54.19
2020-02-04,54.75
2020-02-05,55.11
2020-02-06,55.1
2020-02-07,52.81
2020-02-10,51
2020-02-11,52.49
2020-02-12,54.21
2020-02-13,53.43
2020-02-14,52.46
2020-02-18,51.69
2020-02-19,52.02
2020-02-20,48.51
2020-02-21,46.97
2020-02-24,42.58
2020-02-25,39.31
2020-02-26,36.21
2020-02-27,34.74
2020-02-28,37.26
2020-03-02,35.59
2020-03-03,33.62
2020-03-04,33
2020-03-05,28.59
2020-03-06,27.1
2020-03-09,19.81
2020-03-10,20.5
2020-03-11,15.03
2020-03-12,9.65
2020-03-13,11.1
2020-03-16,10.94
2020-03-17,10.03
2020-03-18,7.77
2020-03-19,8.23
2020-03-20,8.72
2020-03-23,9.67
2020-03-24,13.75
2020-03-25,16.96
2020-03-26,15.71
2020-03-27,12.02
2020-03-30,10.68
2020-03-31,10.96
2020-04-01,9.55
2020-04-02,8.4
2020-04-03,8.46
2020-04-06,10.01
2020-04-07,11.01
2020-04-08,11.72
2020-04-09,13.11
2020-04-13,11.36
2020-04-14,12.35
2020-04-15,12.08
2020-04-16,11.35
2020-04-17,12.38
2020-04-20,11.49
2020-04-21,11
2020-04-22,10.87
2020-04-23,11.47
2020-04-24,10.86
2020-04-27,11.44
2020-04-28,13.09
2020-04-29,16.41
2020-04-30,16.4
2020-05-01,13.84
2020-05-04,14.44
2020-05-05,11.18
2020-05-06,11.12
2020-05-07,12
2020-05-08,12.43
2020-05-11,11.73
2020-05-12,11.09
2020-05-13,10.31
2020-05-14,10.76
2020-05-15,10.92
2020-05-18,12.88
2020-05-19,12.43
2020-05-20,12.78
2020-05-21,14.03
2020-05-22,13.9
2020-05-26,16.03
2020-05-27,17.59
2020-05-28,16.07
2020-05-29,15.66
2020-06-01,17.29
2020-06-02,17.39
2020-06-03,17.98
2020-06-04,19.59
2020-06-05,22.43
2020-06-08,26.86
2020-06-09,24.13
2020-06-10,20.65
2020-06-11,17.25
2020-06-12,20.5
2020-06-15,19.99
2020-06-16,20.96
2020-06-17,19.2
2020-06-18,19.31
2020-06-19,18.22
