Date,Close
2014-06-02,40.94
2014-06-03,40.99
2014-06-04,40.8
2014-06-05,41.38
2014-06-06,41.63
2014-06-09,41.06
2014-06-10,40.46
2014-06-11,40.89
2014-06-12,40.7
2014-06-13,41.28
2014-06-16,44.92
2014-06-17,46.33
2014-06-18,45.42
2014-06-19,45.56
2014-06-20,45.92
2014-06-23,47.44
2014-06-24,46.5
2014-06-25,47.38
2014-06-26,47.12
2014-06-27,47.81
2014-06-30,48.01
2014-07-01,47.94
2014-07-02,45.89
2014-07-03,45.85
2014-07-07,44.53
2014-07-08,43.81
2014-07-09,44.61
2014-07-10,43.89
2014-07-11,43.63
2014-07-14,45.34
2014-07-15,43.92
2014-07-16,43.43
2014-07-17,43.08
2014-07-18,44
2014-07-21,44.11
2014-07-22,43.92
2014-07-23,44.5
2014-07-24,44.71
2014-07-25,44.71
2014-07-28,44.96
2014-07-29,45
2014-07-30,45.78
2014-07-31,44.66
2014-08-01,46.65
2014-08-04,47.7
2014-08-05,47.7
2014-08-06,49.79
2014-08-07,50.48
2014-08-08,49.63
2014-08-11,51.86
2014-08-12,51.99
2014-08-13,52.06
2014-08-14,52.28
2014-08-15,52.4
2014-08-18,51.99
2014-08-19,51.35
2014-08-20,51.14
2014-08-21,50.87
2014-08-22,51.36
2014-08-25,52.51
2014-08-26,52.35
2014-08-27,52.65
2014-08-28,52.77
2014-08-29,53.94
2014-09-02,56.82
2014-09-03,56.24
2014-09-04,57.21
2014-09-05,55.48
2014-09-08,56.42
2014-09-09,55.7
2014-09-10,56.22
2014-09-11,56.06
2014-09-12,55.84
2014-09-15,50.77
2014-09-16,52.15
2014-09-17,52.28
2014-09-18,52.76
2014-09-19,51.86
2014-09-22,50.01
2014-09-23,50.08
2014-09-24,50.43
2014-09-25,49.39
2014-09-26,49.32
2014-09-29,49.05
2014-09-30,48.54
2014-10-01,48.05
2014-10-02,50.28
2014-10-03,51.04
2014-10-06,52.12
2014-10-07,51.91
2014-10-08,51.86
2014-10-09,51.4
2014-10-10,47.38
2014-10-13,44.92
2014-10-14,45.41
2014-10-15,45.94
2014-10-16,45.27
2014-10-17,45.5
